cleaned,counts
pern,1972
quito,1970
pobre,1969
che,1964
plata,1962
mart,1954
fran,1954
yaqpa,1950
perdn,1948
qui,1948
amsterdam,1933
los angeles,1931
saavedra,1925
lujn,1919
miami beach,1916
vier,1915
costa rica,1902
callao,1899
washington,1894
sala,1893
barrio de palermo,1888
barrio norte,1888
bruselas,1885
taiwan,1879
lanata,1879
sta fe,1878
tecnopolis,1868
la boca,1868
santa teresita,1868
eees,1864
lincoln,1860
seeee,1856
general roca,1854
germany,1849
ensenada,1849
san vicente,1847
basta,1846
san carlos,1846
las heras,1839
kempes,1833
cosquin,1830
nunca,1827
africa,1826
vlez,1823
parque,1811
ramos meja,1808
rioja,1806
paso,1802
buenos aires f,1798
pcia de buenos aires,1798
pampa,1791
tra,1781
mara,1773
vierne,1772
castelar,1772
bogot,1768
mer,1767
chascoms,1763
estadio monumental,1755
san jos,1743
pan,1742
siestaaaa,1742
llue,1742
perdon,1739
arg,1738
bragado,1738
vierness,1735
avenida brasil,1728
milanesa,1725
el calafate,1721
fua,1719
dor,1713
patria,1712
casanova,1711
viernessss,1710
gracia,1700
bar,1696
pas,1695
zona,1694
reino unido,1687
venecia,1684
lugano,1676
san carlos de bariloche,1676
chipote,1669
cam,1669
leicester,1669
once,1668
talleres,1657
milagro sala,1653
bay,1651
russia,1651
asuncin,1650
oriana,1650
luifa,1648
canelones,1647
nada,1646
sudamrica,1646
berazategui,1642
bernal,1638
ro negro,1635
carrica,1631
estadio,1616
vera,1615
gran,1610
chupala,1610
mauri,1606
yerba buena,1603
vela,1598
suecia,1590
que,1586
estambul,1586
almuerzo,1581
ro gallegos,1580
las,1580
crdoba capital,1574
spa,1572
chacarita,1572
rio cuarto,1567
aburrida,1565
sudfrica,1565
mendo,1552
besos,1551
ina,1547
guatemala,1545
boston,1544
ndo,1544
pehuajo,1543
gol,1543
paio,1535
lujan,1532
ciudad de neuquen,1527
laguna,1521
pico,1519
dolores,1518
cas,1516
gualeguay,1514
toledo,1514
houston,1514
mariano,1510
tolosa,1509
ciudad de la plata,1505
villa la angostura,1495
esp,1491
casa blanca,1490
bariloch,1490
seor,1487
palermo hollywood,1485
av    de julio,1480
azzaroalhorno,1478
nayar,1467
milena,1465
islas malvinas,1461
jap,1458
nueva zelanda,1455
berlin,1453
ciudadela,1452
punta,1451
plaza san martn,1451
moron,1451
aranguren,1451
bara,1450
mircoles,1449
salto,1449
buscando,1448
vayan,1439
moria,1438
san cayetano,1438
arroyito,1432
otamendi,1431
rica,1431
santa teresita la costa,1430
praga,1425
morite,1424
texas,1420
costa salguero,1418
tailandia,1418
maana river,1417
neymar,1416
barilo,1415
sur,1411
cho,1411
asa,1410
posadas mnes,1409
marcos paz,1406
ayacucho,1403
wall street,1396
sevilla,1387
casa de gobierno,1387
ciudad de mendoza,1387
mayo,1385
villa mercedes,1381
puerto,1380
balcarce,1377
cabildo,1376
trinidad,1376
cerro catedral,1376
manchester,1376
galicia,1374
bari,1369
daleeeee,1368
sarand,1362
general pico,1352
wimbledon,1340
iran,1338
croacia,1332
austria,1330
angeles,1329
ro de janeiro,1326
banda,1325
ver,1325
alberdi,1325
franco,1325
pinedo,1324
urquiza,1320
azul,1320
echegaray,1319
congo,1318
morena,1316
corea,1314
godoycruz,1311
felizsabado,1306
casanello,1306
nuez,1306
bian,1304
villaguay,1304
floresta,1302
comodoro,1302
elpuente,1299
catedral,1299
mi corazn,1296
chin,1295
punta alta,1290
united kingdom,1288
berisso,1288
jaja,1287
nun,1287
porfa,1286
aguante river,1286
ano,1286
valle,1284
massa,1277
gotham,1275
capaz,1273
antofagasta,1273
por,1273
camp,1272
campora,1272
nordelta,1272
tokyo,1269
mataderos,1265
corea del norte,1264
laplata,1263
parque centenario,1261
ro cuarto,1258
andujar,1258
tonga,1255
sanmartin,1255
bero,1250
so paulo,1248
punta cana,1243
estocolmo,1242
hablameee,1239
lacornisa,1236
villa elisa,1234
rosario central,1229
orion,1228
chiquititas,1228
alta gracia,1217
sabia,1212
parque saavedra,1208
jej,1208
hermano,1203
juan,1201
bel,1199
cristina,1199
acostada,1199
ozuna,1199
crepsculo,1198
teatro coln,1198
aires,1197
corte,1196
gato,1195
kapanga,1195
mostaza,1193
guetap,1193
escocia,1190
alma,1187
sierra,1186
costanera,1186
scioli,1185
ter,1185
sanjuan,1180
maria,1180
cap,1177
ila,1177
finlandia,1177
museo,1176
rec,1173
micaela,1173
florencio varela,1172
mir,1172
careta,1170
junin,1168
rajo,1165
como,1164
vietnam,1161
noooo,1161
ravioles,1160
car,1158
bailando,1158
ro grande,1157
laleona,1155
mau,1150
tala,1150
burgos,1150
gym,1148
santacruz,1147
gales,1147
ahora,1145
blgica,1144
polonia,1143
seria,1143
holis,1141
algui,1141
villa allende,1136
goa,1136
ameghino,1134
colonia,1133
la campora,1132
verano,1129
mercedes,1129
morocha,1128
iglesia,1128
sbado,1127
tobio,1127
noruega,1125
chabon,1123
ituzaing,1118
newgym fitness,1116
martes,1115
marzo,1115
casi angeles,1113
aeropuerto internacional de ezeiza,1113
escobar,1113
mel,1112
gran rex,1112
majul,1110
jejeje,1108
tan,1107
balvanera,1107
cagamos,1105
iara,1103
qatar,1103
cosqun,1103
tereres,1103
devoto,1101
teatro,1098
cumbia,1097
cabeza,1095
tre,1095
toronto,1095
pal,1094
bentancur,1094
bol,1094
cannes,1088
luana,1088
lavalle,1086
boulogne,1086
bolvar,1083
nahue,1078
south park,1078
porto,1078
gente,1076
saladillo,1076
calamaro,1073
general paz,1072
cande,1071
luz,1071
maa,1070
tam,1070
nacin,1064
neptuno,1061
costa atlntica,1060
maduro,1060
bruno,1059
parque chacabuco,1058
nigeria,1057
santa f,1057
ranelagh,1056
fox,1056
wanchope,1051
ciudad de villaguay,1050
santo,1048
bienvenida,1048
ten,1047
villa devoto,1046
parque patricios,1045
villa rosa,1044
ooo,1043
valencia,1043
nos,1043
escuela,1040
antrtida,1039
amarte,1036
salvador,1036
las grutas,1035
cobb,1034
madagascar,1034
berln,1032
hagan,1031
palacio,1031
tecnpolis,1030
milagros,1029
templo,1028
agosto,1028
argentino,1022
via,1022
la cmpora,1020
ciudad de,1017
cristinapresa,1017
monserrat,1017
cerro,1015
playa,1015
agus,1014
crnica,1014
buensabado,1014
iguaz,1012
pinar,1011
san javier,1008
aeroparque,1007
reina,1007
turquia,1006
poland,1006
lunes,1005
ban,1005
palo,1003
bia,1001
santa ana,1001
mira,1001
ben,1000
haiti,999
golazo,998
san nicols de los arroyos,998
tartagal,998
sole,997
ruta,997
pueblo,996
acapulco,993
lindo,991
santos,991
provincia de cba,991
valentn,989
tres arroyos,989
palermo soho,988
teress,988
pehuaj,988
lituania,987
burzaco,987
pavn,987
mina clavero,984
concepcin,981
gimnasia,981
providencia,978
urtubey,978
siestuli,977
vic,975
vuelvan,974
cristo,970
colegiales,969
santa elena,968
voss,968
tijuana,967
ferro,966
troya,965
abu,961
chan,960
felizjueves,959
gui,958
randazzo,957
buenosdias,957
marihuana,953
navarro,953
gigante,946
san jorge,945
milan,945
montecarlo,945
hawaii,944
dallas,943
city,943
duermoo,942
staaaa,941
laboulaye,939
buenjueves,939
sta cruz,936
campaba,936
gracias river,935
felizdomingo,934
via del mar,934
nueva cordoba,934
campo,933
santamarina,932
hablame,929
latinoamerica,928
dinamarca,928
ciudad evita,927
martinez,927
rosa,927
ginebra,926
lmes,926
seeeeee,926
costa atlantica,924
de julio,922
cosculluela,922
cambie,916
beln,916
constitucin,915
rafaela ciudad,914
avenida,913
jajajaja,913
mesaza,911
peluquera,911
riachuelo,911
ayuda,911
badoo,908
lnea roca,908
fiji,907
ori,906
cruz,905
irak,905
cal,905
menos,904
hernan,904
abzurdah,899
abuelo,898
male,897
vamos,897
bras,897
ailen,897
pileeee,896
sanrafael,896
manaos,895
keee,894
lara,894
santiago de chile,893
antes,893
cancun,893
sanber,893
rri,892
parque de los patricios,891
hait,890
mandale,889
ola,888
calmarno,887
europe,887
cilindro,886
tongoy,886
san clemente del tuy,885
rome,885
nancy,884
los andes,881
la linda,881
novela,880
chino,878
paso de los libres,878
carlos,877
panamericana,877
rio gallegos,876
mza,875
loma,874
nes,873
la falda,872
barrio porteo de nuez,871
dia,871
una,870
san fernando del valle de catamarca,870
cargando,868
mar de plata,867
cataratas,865
chocolatada,865
tauro,864
chu,860
vigna,859
vicua,857
gana,855
volcano,852
blanca,850
abuelas,850
macarena,849
fra,848
centro de crdoba,848
khalama,848
nicaragua,848
varela,847
san nicolas,847
habia,846
haedo city,845
calle,841
ucrania,841
angola,841
nooooo,840
esquel,840
liverpool,839
pias,839
more,838
santo tom,838
zarate,838
pompeya,838
florianpolis,835
sea,835
nacional,834
bs aires,832
san martn de los andes,831
marruecos,830
isla,829
nevada,829
nosotras,829
panqueques,828
plaza san martin,828
ciudad de lanus,827
sele,825
lomas del mirador,825
everest,824
morfi,822
villa luzuriaga,821
moro,820
lollapalooza,820
mala,818
lluviaaa,817
anchor point,817
mile,816
cartagena,816
ramos,816
ceres,816
matanza,816
pro,814
teatrodelmunicipio,812
ciudad de dolores,812
feli,811
longchamps,811
pob,811
arrecifes,810
conurbano,809
pasando,808
cafayate,807
benja,807
ham,806
ero,806
plaza moreno,806
osaka,805
gon,805
romn,805
sgo del estero,804
salta la linda,804
provincia de santa fe,803
florianopolis,803
lago,803
congreso,803
colo,801
coronel surez,801
mosa,799
cordoba capital,798
armenia,797
san patricio,797
gral paz,795
las condes,795
bosque,794
videla,793
itu,792
buenos aires province,792
new zealand,792
austin,792
san clemente,792
ara,792
sutton,792
lajungla,791
pla,791
hablameeee,791
paragua,790
ciudad de ro gallegos,790
talkeetna,790
barranquilla,789
lzaro,789
heredia,789
son,789
munich,788
argel,788
playa grande,787
campen,786
duermooo,786
haedo,784
mina,782
plaza serrano,782
lor,782
lagomarsino,780
jos,780
sao paulo,780
cel,779
del,779
camp nou,778
ramallo,777
malvinas argentinas,776
marquitos,775
mundo,774
junta,774
ando,773
mirando,772
palestina,771
patagones,769
bueenas,768
ley,768
trenque lauquen,767
enezuela,767
casilda,765
niza,765
estacin,765
fort,764
ela,764
bast,764
holu,763
chau,763
mama,763
san antonio de areco,762
vicente lpez,761
barovero,761
bal,761
and,761
philippines,761
olombia,760
seores,760
orin,757
ana,757
nervios,756
mariana,756
sta,756
tres lomas,756
general alvear,755
antartida,754
ciudad de crdoba,753
monterrey,753
saja,753
eeee,752
bsas,752
abril,751
vamaaaa,750
margarita,749
seba,748
iguazu,748
kansas,747
chacabuco bs,744
arenales,744
nepal,744
latino,743
hospital,742
osea,742
ingles,741
pin,741
maipu,741
cantwell,739
coto,739
la vela,739
larrondo,738
gentina,737
temaso,736
plaza espaa,736
mesa,736
val,735
cata,735
oli,733
nooo,733
pais,733
aguanta,733
copacabana,732
los ngeles,732
ias,732
rra,731
ale,731
nena,731
orn,731
pre,730
don torcuato,729
medina,728
av  corrientes,728
latin america,728
comuna,726
gil,724
guaymalln,723
ria,723
malena,721
barilochee,721
barra,720
sunchales,718
ruidazo,717
arizona,717
maip,717
south beach,717
verde,716
ueno,716
amarla,715
tevez,714
wigetta,713
coraz,713
catriel,713
alsina,712
acassuso,711
guernica,711
chauu,710
magic kingdom,709
esquina,709
humahuaca,709
seattle,707
raj,707
prov de santa fe,706
san jose,705
central park,704
ito,703
playa del carmen,703
parque sarmiento,702
toranzo,701
cora,701
nez,701
sudafrica,700
kun,699
zona norte,698
baasooo,697
meno,697
anses,696
mali,695
pos,695
santa clara,693
hong kong,693
olo,691
parque de la costa,690
narnia,689
vegas,689
her,688
ciudad de santa fe,688
casla,688
temon,686
saturno,685
fernecito,685
sudamerica,685
milagro,683
orne,683
villegas,682
uru,680
padua,678
naza,678
serbia,678
arabia saudita,677
munro,677
gabi,677
rrn,676
bria,676
puebla,676
morteros,675
macedo,675
barrio parque,675
saludos,674
facultad,674
newells,674
riso,674
federal,674
caradura,673
loma hermosa,673
montenegro,671
godoy,671
c  a  b  a,670
gravano,668
el palomar,667
blanco,667
bien river,667
la rural,667
ciudad de miramar,667
laprida,665
malibu,665
la carlota,664
santa luca,664
oooo,664
nacho,664
ee uu,663
san valentin,663
rdoba,662
chaca,662
valparaso,660
lalala,660
vasco,660
seychelles,659
porsilasmoscas,658
viciconte,658
buenooo,658
auckland,658
villa luro,657
lavallol,656
villa mitre,656
bail,655
ron,655
abasto,655
dulce,655
villa general belgrano,654
yen,654
la habana,653
bio,652
hoool,652
guada,652
yan,650
el salvador,650
ita,650
san cristbal,649
pami,648
vir,648
torre eiffel,647
av  la plata,647
anova,647
coscu,647
av cabildo,646
com,646
britdra,646
pap,645
aeroparque jorge newbery,645
centenario,645
la nacin,644
bebe,644
martu,644
paol,644
cuenca,643
puerto iguaz,642
las caitas,641
new york city,640
lau,640
museum,640
ledesma,639
fahlo,638
bogota,638
ala,638
faltan,638
miln,637
vos,637
vorterix,637
len,636
provincia buenos aires,636
baitooo,636
netherlands,634
belen,634
bien,633
vuelve,630
tacos,630
maca,630
andes,629
costanera sur,629
salamanca,629
cama,628
agero,628
bs as,628
lagos,627
almafuerte,627
llega,626
nisman,626
jos c  paz,626
viejas locas,626
villa domnico,626
rama,626
merenda,625
duc,625
negro,625
presidente,624
ranchos,623
canad,622
villa madero,622
olmos,622
bombinhas,621
felizcumplecfk,621
venado tuerto,620
esta,620
cataratas del iguaz,620
san salvador,619
metropolitana,619
mar del tuyu,618
de mayo,618
llas,618
noe,618
instituto,618
martin,618
magdalena,618
toay,617
susana,617
santander,617
aeropuerto,617
pcia  de buenos aires,617
almirante brown,616
maradona,615
las pastillas,615
bez,614
gemes,614
brian lanzelotta,614
cayast,613
la paternal,613
iniesta,612
switzerland,609
agos,608
grac,608
alem,607
chascomus,606
parque san martin,606
bomb,605
cubas,605
venus,605
sydney,604
for,604
awada,604
arroyo seco,603
south america,603
america rivadavia,603
kongo,603
santagabriela,602
ing,601
zon,599
provincia de bs  as,599
sar,597
parque urquiza,597
navidad,596
ramos mejia,596
gera,595
pare,595
mar del tuy,595
dover,594
nariz,594
walmart,593
plaza italia,592
res,592
rex,592
magui,591
lnea d,591
jijiji,591
osvaldo,591
rro,590
ones,590
youtube,589
rawson,589
nice,589
nahu,589
karol,588
costa del este,588
canal,587
ciudad de quilmes,587
baez,586
mag,586
villa lugano,586
domingo,586
palmira,586
dublin,585
constanza,585
crobar,584
ober,583
abu dhabi,583
loq,582
uda,582
bro,582
romi,582
teos,581
quien,580
bie,580
puchito,580
lua,579
crespo,579
ral,579
linares,578
caretas,578
aguantaa,578
quinta de olivos,577
plaza independencia,577
england,576
branca,576
postaa,576
ceballos,576
osa,576
